tune,english
bedon,abandon
bihal,abbreviate
zirax,abduct
fopep,abnormal
sixaz,aboard
haran,abolish
xewaz,abrasive
barup,abrupt
hasan,absent
kevuf,absolve
kinux,absorb
yosuk,abstain
vevol,abstract
rafef,abundance
gunik,accent
kerev,accept
mixiv,accident
sekuk,acclimate
legak,accompany
rakiv,accomplish
lemob,accord
ruput,account
divog,accrete
nuheb,accrue
bomud,accumulate
mugek,accurate
rohaf,accuse
kemig,ache
sayek,achieve
buhif,acknowledge
fisud,acquire
desar,act
yixol,action
gimax,activate
yikif,active
detut,activist
ledam,activity
ledod,actual
yuvol,acute
bigoz,addict
foduf,address
zarag,adept
mihen,adequate
nuyux,adhere
rupit,adiabatic
lusan,adjust
dodob,admire
sahad,admission
mutit,admit
finom,adopt
yobuv,adore
hobud,advantage
namom,adventure
bamen,adverse
nabob,advice
sozeg,advocate
fomas,affair
yihog,affect
febis,affirm
dokuz,afflict
ligux,afford
zudax,age
wevol,aggravate
medor,aggression
vaduz,agitate
sosan,agony
xirik,agree
zesox,aim
dohen,alarm
ragak,alert
gayef,algorithm
kozad,alien
kagus,allegiance
titum,allege
vezon,almighty
zoxed,aloof
lakiz,aloud
lorab,alter
duman,altruistic
xehex,amaze
vifax,ambiguous
robed,ambitious
meheb,amplitude
pasep,amuse
yulov,analogy
gawen,analyze
hatep,ancient
desom,anger
loxex,announce
hodul,annoy
laxav,annul
dowar,anoint
zoxum,anonymity
febas,answer
sakux,antecedent
yoras,antiquity
xonix,anxiety
mesim,apart
yevuf,apparatus
soben,apparent
waxab,appeal
lagug,appear
modum,appliance
mubab,applicable
medoj,application
bolas,apply
sarul,appoint
denis,appreciate
fulif,approach
bohis,approve
yulex,approximate
piped,arcane
xafax,arch
merum,argue
yeyan,arise
yabex,around
zenak,arouse
zuyaf,arrange
budar,arrest
xirox,arrive
saxox,arrogant
zakim,articulate
hideb,ascertain
konak,ashamed
panat,ask
xezos,assemblage
lefad,assert
yugis,assess
badar,assist
gesav,associate
yenuk,assume
bamuf,assure
misem,atone
vovem,attach
dozev,attack
nukuv,attain
lanom,attempt
fakak,attend
hubum,attention
suvak,auditory
nemal,aura
xalek,author
zeyur,automatic
fedul,available
kuyuf,avert
buziz,avoid
siyis,awesome
gevur,awful
zexum,awkward
sopup,baffle
leren,baggy
sukek,bait
xefak,balance
zoliv,ball
kuluz,bang
nugaz,battle
denun,beach
nasib,beam
bosos,beauty
huhif,become
kifex,beg
rined,being
zixom,believe
viyok,belong
wakur,beloved
nukux,beneficial
fifim,bet
biwes,beware
yarav,bewilder
vowef,bias
sasal,bind
xumek,birth
muhum,bitter
nevez,blame
gexid,bland
zohix,blank
moxiz,bleak
zadax,blend
sasaf,blind
vabax,bliss
yekas,block (stand in the way of)
berif,blow
susab,bluff
hoheb,blunt
vovis,boil
turot,bold
kivun,bolt (action)
polep,bond
rebor,bootstrap
ragog,border
xaniz,bore
soseb,bored
losub,born
yemuv,borrow
hikik,bother
babub,bounce
weyon,boundary
vamez,boundless
zivad,bountiful
xigos,brag
guvaf,brain
xeyab,brake
vivor,brash
lokax,brave
zahog,bread
zuhuz,break (into pieces)
ledon,breed
sunul,bribe
xexud,bridge
dijin,brief
lezag,bright
xonok,brilliant
zevaf,bring
muris,brittle
yagem,broad
galax,broken
revax,brother
bubol,bubble
ropet,build
fokav,bulk
kehiv,bumble
hamub,bump
suzax,buoyant
zifov,burly
momun,burn
suzoz,burst
xigal,bury
fibos,bustling
zosex,busy
nifom,buy
satot,calculate
gaxib,call
mipet,calm
yoged,camp
suros,cancel
tehap,cap
mibuf,capable
pitid,capacity
fotip,captive
pimot,capture
debes,cardinal
manas,care
tutum,carry
bedim,cast (mold)
furus,catalyze
giwav,category
nepap,ceiling
nubis,cell
xedug,central
keyad,centrical
riyid,certain
gabav,challenge
moguz,channel
yazib,characteristic
ditap,characterize
hohas,charge
yodiz,charity
ruvuc,charm
hagiv,chart
zihex,chase
duguk,chaste
nedid,chat
nodob,cheap
sifef,cheat
nazuv,check
goxas,cheeky
mawag,cheer
norud,chilly
behol,chime
mabes,chipper
ganog,choice
beyez,choose
yexum,chop
bosub,circle
faxok,circuit
voroz,circulate
zaxef,circumvent
rezov,citation
kozus,claim
fisef,clammy
xoyes,clarify
yixun,class
zibov,clasp
zaluk,classic
vokam,clean
sadib,clear
zonaz,clever
ramas,click
zulib,climb
zisok,cling
kevif,clip (cut off)
yolav,cloud (make hard to see)
kagur,club
fehud,clue
xakof,clumsy
bumuf,cluster
mayov,clutter
xuhux,coach
wavib,coarse
mexev,coast
gumoz,coat
hokux,coil
yesaz,cold
kasuv,collapse
yogub,collect
kovub,collide
sabom,color
verax,column
fuvig,combinatorial
bihen,combine
tetad,combustion
vehiz,come
vemiz,comfort
sumur,command
ruman,comment
renur,commit
xeyam,common
xigam,commodity
bones,communicate
nivog,compare
gazof,compass
fayex,compassion
luyex,compensate
tipas,compensation (payment for work)
kaxan,compete
miyub,competence
kikal,compile
fabum,complain
boyek,complement
sumis,complex
nihus,compliant
xavon,compost
wevan,compound
hokek,comprehend
xozed,compress
nokog,compute
lihed,conceal
fobis,conceive
luhuf,concentrate
sosof,concept
nayiv,concern
zagom,conclude
totus,concrete (solid idea)
fiyif,condense
xakob,condition
dumob,conduct
veyik,confer
baham,conference
verux,confession
goxar,confide
xanev,confine (limit within a space)
manid,confirm
yezas,conflate
kobux,conflict
sesus,confound
yiyuk,confront
kozol,confuse
mivax,congest (get all blocked up from flowing)
lokoz,congratulate
migux,congregate
mavoz,congruence
raviz,conquer
bewas,conscientious
hobin,consensus
mubed,consequence
wegas,consequent
nogiv,conserve
fotap,consider
debon,consist
folem,consistent
kahox,console
bafab,consolidate
saweg,consonant
leman,constant
zimev,constellation
hodes,constitute (internal make up)
soreb,construct
warod,construe
ludur,consult
gamez,consume
vuges,contact
lanar,contempt
beyid,content
simas,contest
hesen,continuum
fagek,contractionary
fozix,contrary
herub,contraryness
nixov,contrast
niyob,contribute
mekiv,control
moleb,controversy
bibif,convect
xikan,convenient
vafiv,convention
gakan,converse
yidoz,convert
gowan,convey
zadav,convince
fudad,convolute
pepun,cool
voken,cooperate
lafes,coordinate
riveg,cope
risum,corner
fadeb,corny
fuzog,correct
zofek,correlation
lolur,correspond
yalik,corrode
mofan,corrupt
sunam,cost
zogos,counsel
yivud,couple
lihon,courage
kolaj,course
yikes,court
hurob,cousin
nukiv,cover
yuhev,covetous
hutep,coward
mudob,cozy
kuvur,crabby
kifeg,crack
nekak,cranky
komuv,crash
homof,crave
fixug,crawl
soyog,crazy
tubop,creep
tetan,crest
hukuk,crew
vodig,crime
dasub,cringe
zivem,crinkle
damof,cripple
subef,criticize
lireb,critique
venav,crooked
rexok,cross
vekim,crowd
gakof,crowd (action)
galav,crowded
mofad,crown
geyed,crude
bamod,cruel
gubig,cruise
lixix,cruise (object)
vukad,crumble
fisas,crumple
kasok,crush
geyiz,crush (on person)
xuhok,crust
ribud,crusty
desas,cry
tafat,crying
yusax,crystal
yizuf,crystalize
rudib,crystallization
bamal,cubic
yagin,cubicly
sixeg,cuddle
mavag,culminate
funar,cultivate
mufal,cultural
pinep,culturally
tosut,cumulative
sidod,cunning
bokig,cunningly
nasos,curate
yayes,curb (stop and prevent)
nehaf,curdle
sebuf,cure
xevin,curious
sofif,curl
faxux,curly
humif,current
wekuf,currently
zokob,curse
buxav,cursor
hadol,curtain
visev,curve
boyuv,curved
sivov,curvy
laxok,cushion
defon,custom (designed)
bugav,custom (practice)
zixan,customary
sixox,cut
pupib,cycle
tetol,cyclically
niron,cylinder
monaf,cynic
zigem,cynical
vawab,daily
guwed,dam
yezud,damage (action)
sisul,damage (object)
teteb,damaged
losum,damaging
zugun,damn
berum,damp
gusik,dance
dalus,dancer
kusek,dandily
zavol,dandy
kiyuk,danger
leduf,dangerous
segez,dangle
losuf,dare
saviz,dare (object)
bahaf,daring
fuxug,daringly
limib,dark
xarox,darkness
haxag,dashing (stylish)
wegef,data (processable information)
gumez,dawn
