tune,english
fofkun,aholehole (fish)
yitxuf,alewife (fish)
sumzec,alfonsino (fish)
derguC,alligatorfish (fish)
glocun,amberjack (fish)
krikij,anchovy (fish)
Cufton,anemonefish (fish)
muCafk,angelfish (fish)
travaC,angler (fish)
kogzaC,anglerfish (fish)
fiCend,arapaima (fish)
gorpuk,archerfish (fish)
renoj,armorhead (fish)
kuqkiv,arowana (fish)
krokoj,ayu (fish)
cifkeg,bandfish (fish)
warboq,bangus (fish)
cefkeg,banjo (fish)
xegziq,barb (fish)
tetxev,barbel (fish)
teftuC,barfish (fish)
mubal,barracuda (fish)
riCotx,barracudina (fish)
Cultab,barramundi (fish)
harbom,barreleye (fish)
crumos,bass (fish)
mogzux,basslet (fish)
fufamz,batfish (fish)
zotxuv,beachsalmon (fish)
vetxen,beardfish (fish)
denduC,beauty (fish)
ridirz,betta (fish)
xrejos,bichir (fish)
Cozdiz,bigeye (fish)
Cadjep,bigscale (fish)
trimoz,billfish (fish)
dagzav,bitterling (fish)
crejun,blackchin (fish)
kaspuv,blackfish (fish)
meskol,bleak (fish)
dazdic,blenny (fish)
humirg,blobfish (fish)
badjuq,blowfish (fish)
dorbis,bluefish (fish)
mostup,bluegill (fish)
sozdib,boafish (fish)
yargix,boarfish (fish)
percox,bocaccio (fish)
zenziC,boga (fish)
vezulz,bonefish (fish)
targem,bonito (fish)
sofarc,bonnetmouth (fish)
memorg,bonytail (fish)
kragid,bonytongue (fish)
kolpez,bowfin (fish)
ditxur,boxfish (fish)
nehifk,bream (fish)
docerd,brill (fish)
hostik,bristlemouth (fish)
vovesp,brooder (fish)
parbom,brotula (fish)
vazdus,buffalo (fish)
kezdul,bullhead (fish)
larolp,burbot (fish)
xagurg,buri (fish)
kegzim,burrfish (fish)
hiwisk,butterfish (fish)
djaris,butterflyfish (fish)
norgec,candiru (fish)
fiftat,candlefish (fish)
CorCan,capelin (fish)
Canur,cardinalfish (fish)
Candak,carp (fish)
curkan,carpetshark (fish)
lamitx,carpsucker (fish)
lirdeC,catalufa (fish)
tendij,catfish (fish)
bodjuk,catla (fish)
feyast,cavefish (fish)
zuquft,char (fish)
sijorv,cherubfish (fish)
saltis,chimaera (fish)
ruCemd,chub (fish)
gunzuc,chubsucker (fish)
xakemd,cichlid (fish)
guzanz,cisco (fish)
hofoj,clingfish (fish)
yerbut,clownfish (fish)
wemzes,cobbler (fish)
wokalz,cobia (fish)
vlukud,cod (fish)
rozdan,codlet (fish)
zirCos,codling (fish)
nendoc,coelacanth (fish)
yanzid,coffinfish (fish)
domdak,coley (fish)
valpar,combfish (fish)
sedjen,conger (fish)
ziCort,cornetfish (fish)
borgav,corydoras (fish)
murtur,cowfish (fish)
bufkit,crappie (fish)
Cemzir,crestfish (fish)
ziftuz,croaker (fish)
genzex,cusk (fish)
cuspoC,cutlassfish (fish)
nenzaf,dab (fish)
cebirb,dace (fish)
rusalz,daggertooth (fish)
Cefkub,damselfish (fish)
zunig,danio (fish)
rogzoz,darter (fish)
genuv,dartfish (fish)
kuforz,dealfish (fish)
mirtiz,demoiselle (fish)
kaftuk,dempsey (fish)
zurkuk,devario (fish)
blijos,devil (fish)
tospip,dhufish (fish)
foqkur,discus (fish)
Ceften,diver (fish)
coltip,dogfish (fish)
yemdut,dojo (fish)
beheC,dollar (fish)
Cadjif,dolphinfish (fish)
dodjiq,dorado (fish)
dertam,dory (fish)
kravad,dottyback (fish)
momden,dragonet (fish)
xorCeq,dragonfish (fish)
giqand,driftfish (fish)
treqif,drum (fish)
duskav,duck (fish)
gruCeq,duckbill (fish)
gumdut,eater (fish)
sordob,eel (fish)
kircof,eelpout (fish)
taspot,elasmobranch (fish)
huhumz,elver (fish)
trumag,emperor (fish)
lusur,escolar (fish)
xrupep,eulachon (fish)
furgep,fangtooth (fish)
sexuv,featherback (fish)
Cargoz,fierasfer (fish)
xurdeg,filefish (fish)
rufomz,fingerfish (fish)
kustar,firefish (fish)
cafodj,flagblenny (fish)
xaltan,flagfin (fish)
krovul,flagtail (fish)
sirzib,flatfish (fish)
vrumek,flathead (fish)
mewirc,flier (fish)
kufkem,flounder (fish)
kustul,flyingfish (fish)
fuhenz,footballfish (fish)
zumdox,fringehead (fish)
maspor,frogfish (fish)
tunet,fusilier (fish)
xraxex,gar (fish)
tuzduk,garibaldi (fish)
noCork,garpike (fish)
leftek,ghoul (fish)
tifkeg,gibberfish (fish)
Ceyirp,glassfish (fish)
satxum,goatfish (fish)
laskol,goby (fish)
pimzuv,goldeye (fish)
manunz,goldfish (fish)
mirtex,gombessa (fish)
husetx,goosefish (fish)
nerpot,gourami (fish)
Cestin,graveldiver (fish)
srovuq,grayling (fish)
vuzduk,greeneye (fish)
vrecav,greenling (fish)
lirtom,grenadier (fish)
korcag,grouper (fish)
cufoj,grunion (fish)
sindoC,grunt (fish)
warkeb,grunter (fish)
gerdup,gudgeon (fish)
diskep,guitarfish (fish)
sojagz,gulper (fish)
kazerp,gunnel (fish)
kordig,guppy (fish)
retxup,gurnard (fish)
sercej,haddock (fish)
gikolz,hagfish (fish)
ginzoj,hairtail (fish)
cegzej,hake (fish)
dezort,halfbeak (fish)
mofagj,halfmoon (fish)
zuftez,halibut (fish)
bertes,halosaur (fish)
worziC,hamlet (fish)
numziC,hammerjaw (fish)
truqom,handfish (fish)
Cerzab,hatchetfish (fish)
fifkeg,hawkfish (fish)
gudox,herring (fish)
mobeft,hoki (fish)
