sofked,beech (tree)
yonzoj,elm (tree)
merCiC,holly (tree)
vomzaC,hophornbeam (tree)
xexanz,hornbeam (tree)
drimor,linden (tree)
pulzed,sweetgum (tree)
bamdak,sycamore (tree)
zorcis,arborvitae (tree)
kifkul,cypress (tree)
riwond,tupelo (tree)
zutxus,willow (tree)
Cofteg,viburnum (tree)
kizift,oak (tree)
zidjuf,cherry (tree)
titond,pistache (tree)
sahem,persimmon (tree)
wulzos,myrtle (tree)
kogzin,cryptomeria (tree)
heyagj,redwood (tree)
carcoC,cedar (tree)
purkon,redbud (tree)
sruveq,dogwood (tree)
kahog,maple (tree)
Cesaft,ginkgo (tree)
fracoc,rubber tree (tree)
momur,honey locust (tree)
hundip,pagoda (tree)
korzul,zelkova (tree)
sarpik,coffeetree (tree)
mardid,pine (tree)
sispez,magnolia (tree)
waspob,planetree (tree)
vizusk,catalpa (tree)
yirzuk,orange (tree)
korkit,pawpaw (tree)
kozdab,pecan (tree)
yeskus,birch (tree)
kerzos,sassafras (tree)
corper,berry (tree)
vezdov,silverbell (tree)
rolpaf,tuliptree (tree)
girgek,willow (tree)
kamzim,hazel (tree)
raspif,yellowwood (tree)
zavefk,cottonwood (tree)
vanorz,hickory (tree)
brebuf,hophornbeam (tree)
djoroc,larch (tree)
dizdur,spruce (tree)
curpoz,juniper (tree)
woskaf,kauri (tree)
tromaq,peppermint (tree)
suqkik,kumquat (tree)
sranuc,olive (tree)
lizdok,aspen (tree)
cradeb,fir (tree)
yirgen,artichoke (vegetable)
pezdig,aubergine (vegetable)
hulzup,asparagus (vegetable)
yordut,legumes (vegetable)
furpiC,alfalfa (vegetable)
yukimz,bean (vegetable)
gurcex,bean sprout (vegetable)
wurpax,pea (vegetable)
Cendur,lentils (vegetable)
drevev,peanuts (vegetable)
zerduj,mange tout (vegetable)
lijatx,broccoflower (vegetable)
zudav,broccoli (vegetable)
coltun,brussels sprouts (vegetable)
herkuj,cabbage (vegetable)
tamdal,kohlrabi (vegetable)
voyirp,cauliflower (vegetable)
horpip,celery (vegetable)
minunz,endive (vegetable)
gigzok,fiddleheads (vegetable)
gorpix,frisee (vegetable)
Codult,fennel (vegetable)
calirs,greens (vegetable)
gezdun,bok choy (vegetable)
fispov,chard (vegetable)
vultug,kale (vegetable)
kurdoc,anise (vegetable)
zorkiq,basil (vegetable)
ciwegj,caraway (vegetable)
vofov,coriander (vegetable)
puzdat,chamomile (vegetable)
refkav,daikon (vegetable)
tinzuj,dill (vegetable)
bahurg,lavender (vegetable)
lurtok,cymbopogon (vegetable)
nidjoz,marjoram (vegetable)
solpiv,oregano (vegetable)
slegiv,parsley (vegetable)
