tune,english
bab,ten
bal,world (conception of reality)
bam,create
baq,self (auto-)
bed,depth
ben,b letter
bes,base
bib,left
bif,previous
bim,line
bip,bit
biq,else
bis,across/through (trans-)
bod,consonant
bon,relation/link (the connection itself)
bor,bump/hill
bos,O letter
bub,now
noz,z-axis
bul,side
dad,parent
dan,urge
dar,darkness
das,negative
deb,density
def,index
dem,effect
det,datetime stamp/instance in time
did,just
din,d letter
dip,tree
dir,bit on
dis,number
nul,close
dit,distance (tele-)
dob,two
dol,o letter
dom,"area or state of being (-dom)"
dop,value
dud,extend
duk,"thing (hatchling)"
dun,right
dur,feel/feeling
dus,length
fab,include
faf,A letter
fal,"full of (-full)"
fam,scale
fed,void
fen,whole
fes,face (surface)
fet,eight
fib,next
fif,target
fin,"belief in x"
fod,f letter
fon,machine
for,joint (the point where the two connect)
fos,information
fub,y-axis
fut,fruit
fun,within (endo-)
gad,god
gag,opposite (anti)
gen,without
gem,game
gar,"language (-ese)"
gav,a vowel
gek,position
gez,front
gig,g letter
giv,give
gix,I letter
gok,end
goz,get
gux,memory (storage medium)
han,zero
hal,span
hab,grow
het,hate
hem,open
hes,medium
hif,bit off
him,back
hon,focus
hor,out
hub,x-axis
huf,h letter
hum,width
kam,five
kan,"ability (-ability)"
kaq,object type
kaz,do/cause
keg,node
kex,k letter
kik,reach
kin,"-ableness"
kip,group
kiq,action type
kix,all encompassing type
kiz,vowel
kod,code
kag,piece
koq,fusion type
kov,part
kox,nand
kuz,exclude
lab,current
laf,four
lak,lock
lal,rotate/spin
lam,do like something
las,"less of (-less) empty"
lid,solution
len,"the nature of doing x (-ence)"
les,l letter
lif,leaf
lig,category
lim,branch
lip,chain
lix,instance
lod,load
log,word
lon,loan
lor,balance
los,separate
luf,far
lul,block/prevent
lum,all
lup,loop
luz,light
mab,evaluate/run (code)
maf,m letter
mal,distance
mam,source
mar,"more (-er)"
mav,"loving (-phile)"
med,thing about the thing (meta-)
mek,make
men,main/primary
mes,different
mib,size
mif,set (get)
mim,i vowel
mis,"most (-est)"
mod,twelve
mon,"featuring x"
mor,be
mox,"the model of the action (e.g. the transform)"
mud,life
muf,height
mul,U letter
mum,good
nad,"having some aspects of (-ish)"
nal,"period of x (-hood)"
nan,not (un- or -im)
nar,filter
nas,nine
neb,e vowel
nef,allow
nem,name/define
nid,n letter
nin,bad
nir,desire
nis,neutral
niv,with (con-)
nob,nth square (math)
nof,add
nol,area/field
nom,maybe
not,message
nud,representation
nun,nothing
nur,transform
pag,undo
pen,pain
paq,response
pat,"act of"
paz,pause
pet,free
dat,point/particle
pip,experience
piq,request
pis,peace
pot,p letter
puk,eleven
rad,cycle
ran,subtract
ras,in
