tune,english
glisp,involution
fledj,eject
flurt,
xresp,implosive
djomd,ablaze
txagz,adult
txuft,affine
dralz,detail
txolp,
slamd,agriculture
srulz,apartment
snind,applaude
xlemd,ascetic
djimz,attic
smost,automata
xredj,autumn
vlesk,axiom (base assumption)
frost,babysitter
vlost,backhand
fresk,backward
kridj,barefoot
glurc,barley
txigz,bashful
brusp,bath
glorz,bedroom
blifk,beef
grimd,beer
xlast,palace
djend,zigzag
groft,seated meditation
frugz,bronze
prest,broadcast
srorp,brick
frorp,bread
blolz,bottle (liquid holder)
fragz,bother (male sibling)
xluzd,bootleg
vriqk,book (text container)
snask,bone
pralp,bomb (explosive device)
vlurk,derivative
trorc,depart (leave from)
srult,demolish
frinz,deck (patio)
wrosk,decelerate
grort,daughter (female child)
vlumd,pickle
fruzd,contract
wrogz,contest (fight)
drorg,conspicuous
kletx,console (configuration panel)
glosk,concur (agree)
gramd,concrete (material)
blist,concert (music event)
slark,bruise
sludj,buddism
trosp,bucket
wrugz,buttocks
trimz,cabinet
xlalz,cable
txafk,cafe
sneft,cake
flidj,calcium
vland,camera (image capture)
wrolt,candle
flomd,candy
sruft,cannon
flend,capital (main place)
klezd,carbon
trolt,tonque
trufk,tonight
dreqk,today
smorp,booth
bleft,brass
djorp,carpet
trisp,carriage
bruzd,cartoon
flird,case
slidj,cast (film)
blutx,castle
brist,cathedral
grusk,cell (biology)
slorp,chamber
twerp,chapel
crofk,cheese
drolp,chess
vlisp,chest
spalp,chief
klusp,chocolate
trumz,christianity
djodj,church
wralp,cinema
brisp,classroom
crumz,clay
drest,clinic
grezd,clitoris
plulp,whey
vlodj,wine
twalp,wink
bland,wizard (good magician)
djonz,upward
crasp,verse
krisp,vertebra
xlesp,vessel
flisp,village
kliqk,vinegar
grask,violin
trazd,volleyball
brolt,waist
crark,wallet
pruzd,ankle
vrord,trunk
grost,truffle
xrutx,truck
kluft,tropical
xrolz,triumphantly
florz,treaty (formal agreement)
djumd,treasury (treasure manager)
xrulz,mall
fligz,maiden
cruzd,magazine
vretx,lung
prost,lunch
prarg,lumber
flarp,town
crenz,downhill
crolp,download
vlezd,downright
crorb,downstage
crugz,downstairs
krulp,doggishly
djift,doctor
vrarz,divine presence
brigz,district
grorc,discharge
vlorp,disappear
slosp,dinner
wreft,bladder
flagz,birthday
traqk,draft
djurg,pole
blagz,plate
prarb,planet earth
klumd,pitch (throw ball)
vlosp,pilot (airplane driver)
vlork,pillow
smisp,piano
trizd,photograph
srast,pharynx
xlort,self-control
brorb,tank (hard fail)
djorz,tale (long fantastical story)
krefk,tadpole
glimz,tablet
sloft,supernatural
frist,sunrise
wralt,summer
flarb,nostril
brosk,north
slast,nose
sreft,nipple
glizd,niece
spalt,newspaper
blotx,nephew
prund,neck
vlesp,naval
srist,nation
flazd,muzzle (mouth lock)
tromd,mustard
txesk,muscle
primz,spore
prufk,pore
txosp,theater
blegz,thigh
krogz,vein
brarb,upbeat
brezd,gland
vlaft,facture
blird,fixture
srulp,texture
gralt,venture
trogz,mixture
trard,creature
xlaqk,fracture
smerp,tincture
crosp,juncture
kredj,moisture
bladj,pasture
xlurp,stature
xrodj,rupture
klimz,rapture
breft,nucleus
slorz,menorah
xlarz,judaism
prarC,islam
klalp,hinduism
prort,tire
vlenz,gasoline
frolz,mile
krort,street
preqk,farm
smutx,hotel
trifk,court
drorb,school
blimd,office
blugz,university
srorc,club
bloft,park
djark,store
vraft,shop
xlorg,library
vlorb,hospital
txand,market
sriqk,building
framz,comet
klomd,dirt
drizd,lightning
prusk,thunder
krumz,train
slerd,plane
prorb,bicycle
cretx,boat
druzd,ship
flotx,sock
txidj,lawyer
txonz,patient
crarz,priest
plond,police
sramd,veteran
klisp,soldier
bromz,artist
txost,president
twult,money
frust,bill
swird,ethnicity
krafk,election
snosp,movie
srinz,juice
prork,milk
crozd,beverage
xlarc,egg
krorg,soup
wrolp,rice
blorb,breakfast
drorz,sugar
djinz,knife
grend,spoon
glorp,fork
xlifk,stool
twond,bathroom
slork,pencil
srusk,pen
frarb,soap
slimd,page
cradj,letter
grogz,paper
grisk,garden
vlifk,yard
twaft,needle
croft,lamp
blarg,television
dratx,radio
srimz,metal
blidj,plastic
xlosk,stone
frond,dust
grinz,inch
txust,pound
srark,consonant
trudj,vowel
snisk,fall
tragz,year
wredj,month
flamd,week
xruqk,day
blemd,night
brenz,hour
vlorc,minute
blitx,second
smesk,steel
dretx,gallery
frord,canal
cralt,flag
xlend,hurricane
kraqk,fantasy
klolt,rifle
blodj,ferry
frorg,submarine
djarz,cotton
krugz,radar
xlazd,helicopter
glogz,furniture
drost,hammer
glodj,tornado
flegz,arrow
brofk,yacht
glist,porch
txist,petal
xlesk,bathtub
drigz,brush
plifk,ink
klidj,fiber
sresp,rope
vrart,horizon
glumz,several
spaqk,shaft
glagz,shank
txoft,shrine
tximd,sickle
vlufk,silk
gloft,skateboard
krarc,skin
srefk,skull
grist,skyward
credj,sluggish
brutx,snorkel
kramd,snore
txamz,softball
flumd,son
xrigz,square
klarc,staff
srarb,starch
vlust,straightforward
wrenz,straightway
vladj,studio
crifk,subway
drodj,equinox
txaqk,equator
djurk,agenda
flurg,calorie
flomz,manufacture
srond,laundry
cragz,knight
glult,kitchen
frozd,kick
dridj,jaundice
xregz,bureaucracy
wrulz,democracy
flolt,delicacy
klalt,aristocracy
twisp,pharmacy
frigz,grammaticalization
glomd,drupe
sreqk,abscission
krust,ovary
brard,carpal
dritx,fluorescence
grord,keel
plorp,phosphorescent
srimd,squat
blurp,tubular
txest,stout
twird,hearty
prunz,herbaceous
srask,perennial
djolp,luxuriant
txegz,succulent
frufk,woody
grasp,ceramic
glifk,plaster
vlorC,mild
bloqk,thematized
slisp,acid
vludj,acidic
klurb,acidity
crind,acidosis
srusp,acidification
txunz,acids
vrusp,adultery
treft,angel
djesk,arm
flast,army
slonz,art
brand,bake
blisp,bundle
djult,beefy
blesk,bench
vrorC,bike
djurb,bite
blaft,blade
smusp,blink
blurC,blister
xremd,blonde
blard,blood
trarc,blushing
vrusk,alcohol
txalz,diary
snert,representationalism
gland,motorcycle
prolp,radical (chemistry)
swerp,polymer
swurt,polymeric
cronz,polymerization
txodj,petroleum
krodj,oxidation
brizd,oxide
klamz,oxidize
xrorz,guitar
djafk,applauding
prust,applauded
flift,applause
wramz,flour
