tune,english
txod,beyond
blaf,interior
srib,exterior
vrez,arc
xmid,commutativity
blal,about
twal,around
snin,separation/break
krak,hook
sram,handle
trav,glyph
glad,min
txib,max
spes,space
twaf,think
kraq,lead
txes,chase
grez,tail
trez,hold
prom,see
txam,hear
drab,touch
sped,know
trax,sine
kriz,cosine
blum,tangent
gruv,seek
vrok,head
xmob,control
xmus,intersection (set)
prud,complement (set)
brid,union (set)
plen,plane
spim,land
snun,time
smed,finite
prin,energy
slef,neighborhood (set)
pris,manifold
blos,nor (logic)
smub,xor (logic)
krex,xnor (logic)
kliv,and (logic)
vreq,or (logic)
smes,nand (logic)
twib,compact
klav,metric (thing that can be measured)
sleb,topology
freb,sweep (ball in topology)
glef,contain
srod,low
prid,high
swig,weak
trok,strong
fras,normal
srab,total
plif,partial
smim,abstract
brof,concrete (abstract)
snan,smooth
prad,rough
frin,discrete
sred,continuous
smon,disjoint
slis,separate
slob,structure
txen,together
ples,local
frol,global
blifo,absolute
blifoyo,absolutely
blifa,absolution
blifoyoga,absolutism
blifowa,absolutist
glar,relative
glis,circle
blim,angle
fris,ellipse
txim,parabola
sros,hyperbola
smen,curve
troq,spacetime
brol,map (function)
smum,projection
twen,connected
twam,partition
grag,disconnected
krik,coarse
snis,fine
frus,convex
frad,concave
slus,flat
twes,round
sweq,order
slom,relation
kruq,intuitive
txif,difficult to intuit
dres,perfection
grok,ideal
dron,machine
srum,modular
snir,reverse
swek,involution
spum,sum
swez,independent
spib,variable
spam,static
plon,dependent
spor,property
sraf,complete
sres,regular
twed,constant
brem,dynamic
bluf,isolated
vrax,simple
brom,complex
grav,gravity
flul,revolve
glun,generate
slad,resolve
blub,almost
blen,bound
glom,barely
glin,symmetry
dred,nonsymmetrical
flaf,incidence
brob,parallel
blul,proof
txed,perpendicular
glan,axiom
spen,combination
slud,dimension
snas,condition
flaba,line
flabo,linear
flum,principle
druf,pan (move screen around)
kleq,zoom in
frud,zoom out
greq,tilt
blab,drag
grig,drop
brad,infinite
klag,distributivity
klix,equation
prem,associativity
slur,transitivity
draf,commutativity
snom,composition (functions)
twim,converse
trux,restriction
klax,complement
pref,reflexive
grug,irreflexive
txub,antisymmetric
srim,asymmetric
drif,inverse
smor,identity
flam,unique
smul,idempotence
klig,absorption
txon,monotonicity
krev,affinity
pran,condense
vrag,origin
snari,radiate
snaro,radial
slol,radius
snob,sequence
flub,reference
bris,straight
sfir,sphere
frem,entropy
blib,subadditivity
slof,increase
breb,decrease
glem,stay
glir,rate
plos,extremum
trig,shift (move discretely)
plal,range
bled,image (math)
krox,extension
frofa,divergence
slara,convergence
frun,domain (possible values)
snem,consistent
vrek,limit
fles,iteration
prebo,direct
nanoprebo,indirect
groz,invariant
frida,absence
frido,absent
fridiha,absented
fridiho,absenting
fridoyo,absently
fled,across
flod,ago
brin,alone
trag,along
trug,better
snus,also
bloni,alternate
blonoyo,alternately
bloninado,alternative
bloninadoyo,alternatively
smos,always
sruf,although
fran,anyways
slun,arrow
spod,artificial
klux,natural
vrav,simulation
snud,between
trek,virtual
proli,attract
proliha,attracted
proliho,attracting
prolivana,attraction (nature of attraction)
prola,attraction (object)
prolinado,attractive
prolinadoyo,attractively
prolinada,attractiveness
prolinada,attractivity
prolitula,attractor
flen,average
trixo,aware
trixoxama,awareness
txos,basic
glid,worse
sneb,blue
brus,green
dram,purple
brun,breadth
sren,white
griv,black
gram,gram
srul,component
prof,red
flim,yellow
glob,brown
plam,orange
blod,
plod,composite
txor,pink
drul,turquoise
smal,gold
snol,contiguous
srif,cone
plubo,conscious
pluba,consciousness
spul,container
driba,constraint
klug,gray
spubo,continual
spuba,continuation
spubi,continue
spubovana,continuity
klek,never
slir,nevertheless
troz,null
dros,mole (unit)
blam,ampere (unit)
groq,kelvin (unit)
truv,candela (unit)
prus,
kraz,
glas,
kruk,
vroz,
drum,
flor,
plaf,
spaf,
grek,
spal,
kloz,
glus,
spon,
glol,
dral,
slid,
spab,
brud,
spif,
swiv,
kloq,
drod,
smif,
grux,
vrig,
prob,
vriv,
smod,
kruz,
treq,
plor,
slin,
spos,
vroq,
swax,
fref,
txaf,
vruv,
plab,
pras,
klok,
smab,
flib,
bras,
smam,
plim,
bref,
plib,
grax,
plul,
flos,
krog,
txul,
snur,
pled,
sral,
smuf,
slas,
bles,
vrix,
glud,
grix,
swav,
glof,
vrug,
snef,
kluv,
frob,
snad,
slem,
krov,
drim,
kreg,
txab,
plum,
flal,
pluf,
spuf,
slan,
snid,
swag,
prun,
dren,
flif,
smib,
glur,
gleb,
kriq,
swix,
twif,
twab,
blor,
bran,
klez,
from,
triv,
flon,
txal,
srub,
sron,
txuf,
txum,
drub,
fluf,
smaf,
vrux,
snof,
