tune,english
detx,
malt,
fenz,
darp,
soft,
gosp,
bard,
lirt,
bost,
fest,
dand,
hest,
susk,
dotx,
lutx,
mult,
lend,
bift,
doqk,
mird,
surp,
best,
balt,
faqk,
fafk,
bifk,
nurp,
fasp,
baft,
dofk,
host,
fatx,
nofk,
lufk,
deft,
word,
sask,
most,
maqk,
mend,
sist,
borp,
lesk,
lond,
fost,
rofk,
malp,
sesp,
hurd,
roqk,
desp,
mitx,
fufk,
firt,
rolt,
fard,
falp,
bult,
roft,
noqk,
balp,
resp,
wirp,
solp,
dund,
fisp,
netx,
bosk,
lard,
fond,
durp,
yart,
nist,
lost,
hufk,
rust,
sust,
lult,
vart,
forp,
rast,
lest,
fift,
nusk,
fend,
mafk,
rist,
hosk,
hirt,
lasp,
nolt,
dask,
hesk,
nord,
sind,
batx,
luqk,
biqk,
rind,
hisp,
nirp,
gart,
mufk,
rotx,
lisp,
setx,
sarp,
dusk,
fesk,
bitx,
misp,
seqk,
lalp,
hatx,
sord,
sirp,
fird,
mond,
hasp,
falt,
neft,
huft,
bisp,
mutx,
sisk,
husp,
mift,
mosk,
burd,
refk,
vurt,
halt,
hift,
fiqk,
dosp,
lurd,
hiqk,
rusk,
rask,
hult,
bafk,
nast,
bond,
mesk,
dolp,
hafk,
nund,
yurt,
hard,
warp,
nand,
latx,
reqk,
furd,
miqk,
faft,
kort,
rund,
mard,
muqk,
hutx,
fusp,
sund,
hird,
losk,
masp,
neqk,
fosk,
basp,
fuft,
bird,
dolt,
muft,
rand,
sofk,
fitx,
hifk,
bulp,
defk,
morp,
birt,
wort,
horp,
nefk,
matx,
lafk,
sosp,
retx,
risk,
hitx,
noft,
luft,
lalt,
lorp,
mifk,
laqk,
besk,
mest,
fuqk,
nosp,
futx,
lird,
mirt,meter
bendi,bend
benda,bend (object)
bendikano,bendable
bendiha,bended
bendiwa,bender
bendiho,bending
bendiho,bending
reft,
nind,
gurt,
dind,
disk,
halp,
nask,
hulp,
nesp,
bufk,
solt,
huqk,
haft,
seft,
dirp,
deqk,
lulp,
baqk,
sefk,
buft,
haqk,
hond,
sast,
notx,
rolp,
lift,
zort,
fifk,
lusp,
mulp,
dist,
dast,
rosp,
dust,
lifk,
xurt,
fult,
soqk,
busp,
nisk,
sotx,
wurp,
laft,
litx,
buqk,
narp,
nolp,
musp,
butx,
murd,
nust,
dord,
maft,
sand,
hend,
fulp,
doft,
xart,
liqk,
