tune,english
gloqk,ass (vulgar)
twosk,fuck (vulgar)
sraft,pussy (vulgar)
srift,dick (vulgar)
plafk,shit (vulgar)
platx,tit (vulgar)
blirt,bitch (vulgar)
flaft,bastard (vulgar)
smafk,piss (vulgar)
txuft,"dick (male bitch, vulgar)"
sruft,"slut (sexually free any gender, vulgar)"
spuft,
prund,
draqk,
twaqk,
smend,
glosp,
glund,
srulp,
sporp,
smitx,
bretx,
brosp,
drutx,
flesk,
dratx,
slord,
sposk,
sneqk,
plitx,
frotx,
slurp,
spitx,
brand,
spard,
blisp,
fresp,
twafk,
gloft,
prind,
prask,
smasp,
druft,
sward,
drulp,
slert,
smufk,
txird,
blerp,
froft,
snord,
txutx,
srutx,
klart,
spatx,
drend,
plusp,
spond,
glisk,
smond,
slirp,
blutx,
txurd,
snoqk,
prust,
plurd,
drond,
twisp,
drosk,
swart,
tward,
slolp,
slind,
snisk,
slisk,
txisp,
glarp,
sralp,
sriqk,
freft,
drafk,
sresk,
twesk,
glirp,
txaft,
prefk,
prisk,
blost,
sperp,
sneft,
twufk,
txard,
spird,
snesp,
pretx,
plost,
spalt,
draft,
smost,
pluft,
dralt,
srasp,
twond,
slotx,
blult,
flest,
sleft,
glefk,
plirt,
twatx,
fluft,
snert,
drusp,
sletx,
sputx,
plosk,
spufk,
txulp,
frosp,
twend,
snust,
blitx,
glesp,
brotx,
flufk,
plerp,
drost,
sratx,
srult,
srosk,
slarp,
glurp,
spaqk,
spalp,
brofk,
swurt,
glast,
bresp,
flasp,
brolp,
bluft,
plisp,
spirt,
blalp,
twitx,
fliqk,
srufk,
spasp,
plalp,
twirt,
preft,
drifk,
prast,
txond,
flatx,
twaft,
snast,
pliqk,
drufk,
spult,
flird,
txifk,
flost,
blusp,
snund,
snirp,
smusp,
plalt,
slesp,
prusk,
smurd,
sleqk,
sloqk,
breft,
proft,
srisp,
frefk,
twest,
glind,
slund,
dralp,
txorp,
smult,
twerp,
protx,
gleqk,
flulp,
txift,
flirt,
drift,
plulp,
twift,
snolp,
frolt,
twurd,
glolt,
plest,
smutx,
brefk,
dresk,
prosp,
preqk,
snist,
slosp,
slast,
smirt,
smatx,
brisk,
florp,
spend,
sraqk,
smesk,
txesk,
blafk,
flift,
broqk,
twult,
glolp,
plifk,
blard,
snofk,
snask,
broft,
flaqk,
brust,
frind,
smerp,
swurd,
spaft,
blulp,
srifk,
snind,
swerp,
brolt,
twalt,
sland,
txult,
glist,
spiqk,
slefk,
plaqk,
swirt,
gland,
flosk,
flult,
blend,
brind,
frand,
spusp,
slust,
prand,
flond,
slolt,
spifk,
plorp,
swird,
flifk,
spift,
glord,
blosk,
twuft,
plard,
flalp,
smift,
frist,
frisk,
snerd,
blond,
txest,
brask,
twutx,
smaqk,
breqk,
smiqk,
frusk,
plufk,
txend,
profk,
plult,
flerp,
smest,
flutx,
plesk,
blaft,
twiqk,
txalp,
smird,
prolp,
flitx,
slask,
snetx,
flalt,
glotx,
srost,
twifk,
spisp,
plasp,
spest,
frast,
twost,
srafk,
smard,
srest,
blasp,
sworp,
drisp,
blaqk,
sralt,
plend,
slusk,
glerd,
smalp,
txitx,
plond,
prist,
plaft,
txaqk,
txufk,
bliqk,
spost,
flend,
frask,
froqk,
proqk,
drest,
slofk,
smifk,
spulp,
blift,
smorp,
tworp,
glusk,
blatx,
txusp,
srusp,
txerp,
brund,
txiqk,
plift,
klurt,
brist,
smalt,
snand,
brast,
blufk,
presp,
txost,
twulp,
blesk,
spesk,
dritx,
brusk,
blalt,
txafk,
snosp,
twird,
twalp,
flurd,
twasp,
plutx,
spurd,
gleft,
plird,
snotx,
blest,
drasp,
sloft,
glust,
frund,
freqk,
frolp,
slerd,
frust,
snefk,
blorp,
drult,
prolt,
txasp,
blurd,
spafk,
snusk,
glofk,
smosk,
flisp,
flusp,
smulp,
snurp,
txirt,
txosk,
glert,
flafk,
snarp,
txalt,
fretx,
srend,
blifk,
slist,
snoft,
twusp,
driqk,
smaft,
gletx,
glask,
txatx,
frofk,
smuft,
flard,
smisp,
srond,
blird,
snolt,
