tune,english
roskoba,aholehole (fish)
xugiba,alewife (fish)
husnara,alfonsino (fish)
hiflera,alligatorfish (fish)
spefina,amberjack (fish)
fihalpa,anchovy (fish)
votxaqa,anemonefish (fish)
habluba,angelfish (fish)
biblosa,angler (fish)
mekeka,anglerfish (fish)
kluxifa,arapaima (fish)
gagresa,archerfish (fish)
losufa,armorhead (fish)
trokona,arowana (fish)
xemuka,ayu (fish)
petarda,bandfish (fish)
brugaza,bangus (fish)
yosmuga,banjo (fish)
wiklona,barb (fish)
fetxana,barbel (fish)
snunona,barfish (fish)
niwusta,barracuda (fish)
yolpiva,barracudina (fish)
novuva,barramundi (fish)
lobarpa,barreleye (fish)
gekesa,bass (fish)
hulena,basslet (fish)
wogerta,batfish (fish)
gakirpa,beachsalmon (fish)
vaskova,beardfish (fish)
wiglaza,beauty (fish)
vizara,betta (fish)
fradima,bichir (fish)
sendofa,bigeye (fish)
zeyista,bigscale (fish)
lodirta,billfish (fish)
zusnaga,bitterling (fish)
neftufa,blackchin (fish)
bemuna,blackfish (fish)
herpuma,bleak (fish)
vrukida,blenny (fish)
yayifka,blobfish (fish)
hiroqka,blowfish (fish)
loxega,bluefish (fish)
yeskoga,bluegill (fish)
dobona,boafish (fish)
kafrixa,boarfish (fish)
vidraga,bocaccio (fish)
labuma,boga (fish)
broviga,bonefish (fish)
ralzeba,bonito (fish)
sinzama,bonnetmouth (fish)
fronuna,bonytail (fish)
vovruna,bonytongue (fish)
swavima,bowfin (fish)
vogloqa,boxfish (fish)
luzdifa,bream (fish)
disera,brill (fish)
xagruma,bristlemouth (fish)
xikuska,brooder (fish)
wisliza,brotula (fish)
beslera,buffalo (fish)
korzoxa,bullhead (fish)
liskada,burbot (fish)
datroga,buri (fish)
kadrega,burrfish (fish)
xebruva,butterfish (fish)
flaruda,butterflyfish (fish)
rumdura,candiru (fish)
yoxima,candlefish (fish)
soproba,capelin (fish)
fegova,cardinalfish (fish)
bolzura,carp (fish)
lodesta,carpetshark (fish)
bodrina,carpsucker (fish)
loltina,catalufa (fish)
fogzisa,catfish (fish)
katxiqa,catla (fish)
botreva,cavefish (fish)
kibuka,char (fish)
bostesa,cherubfish (fish)
dasaqka,chimaera (fish)
mutruxa,chub (fish)
wasteva,chubsucker (fish)
maheska,cichlid (fish)
yoxaqka,cisco (fish)
refroba,clingfish (fish)
noleska,clownfish (fish)
nutreva,cobbler (fish)
zaxoma,cobia (fish)
wuyirpa,cod (fish)
fosmuda,codlet (fish)
zikirta,codling (fish)
demzama,coelacanth (fish)
boboqka,coffinfish (fish)
giplava,coley (fish)
twarida,combfish (fish)
plulifa,conger (fish)
braxoxa,cornetfish (fish)
vaskaqa,corydoras (fish)
temzeta,cowfish (fish)
gagesa,crappie (fish)
sitroga,crestfish (fish)
glinena,croaker (fish)
guwosta,cusk (fish)
pafkupa,cutlassfish (fish)
halifta,dab (fish)
fusmifa,dace (fish)
hovrika,daggertooth (fish)
wozduza,damselfish (fish)
wizdeza,danio (fish)
korziqa,darter (fish)
doblima,dartfish (fish)
behusa,dealfish (fish)
xiroga,demoiselle (fish)
molura,dempsey (fish)
trofuqa,devario (fish)
lisinda,devil (fish)
wiverpa,dhufish (fish)
yikluna,discus (fish)
vevroba,diver (fish)
fekroka,dogfish (fish)
lirdena,dojo (fish)
boslafa,dollar (fish)
smifesa,dolphinfish (fish)
weguna,dorado (fish)
dridofa,dory (fish)
plubora,dottyback (fish)
dridira,dragonet (fish)
sniroda,dragonfish (fish)
xaspeqa,driftfish (fish)
twafafa,drum (fish)
blusefa,duck (fish)
neblora,duckbill (fish)
nogluda,eater (fish)
difofka,eel (fish)
yevesta,eelpout (fish)
dispura,elasmobranch (fish)
vosurta,elver (fish)
snubara,emperor (fish)
weploga,escolar (fish)
gofuka,eulachon (fish)
xuzinda,fangtooth (fish)
wulpoqa,featherback (fish)
yusniva,fierasfer (fish)
butrava,filefish (fish)
fulala,fingerfish (fish)
txutita,firefish (fish)
blemeba,flagblenny (fish)
pimupa,flagfin (fish)
togzupa,flagtail (fish)
mispeda,flatfish (fish)
postota,flathead (fish)
ziborta,flier (fish)
dabrosa,flounder (fish)
xawosta,flyingfish (fish)
hohetxa,footballfish (fish)
riwunda,fringehead (fish)
hiftora,frogfish (fish)
lihirda,fusilier (fish)
siwarda,gar (fish)
surzosa,garibaldi (fish)
kafkaza,garpike (fish)
vubriqa,ghoul (fish)
wiblaxa,gibberfish (fish)
snakeka,glassfish (fish)
fustola,goatfish (fish)
probesa,goby (fish)
kriqosa,goldeye (fish)
spufera,goldfish (fish)
raminda,gombessa (fish)
bagroka,goosefish (fish)
sigorta,gourami (fish)
nesrosa,graveldiver (fish)
rugriqa,grayling (fish)
lamzifa,greeneye (fish)
vokraba,greenling (fish)
klaxula,grenadier (fish)
prefafa,grouper (fish)
kokroma,grunion (fish)
xigitxa,grunt (fish)
sruleda,grunter (fish)
himima,gudgeon (fish)
luprasa,guitarfish (fish)
rosnema,gulper (fish)
rafuna,gunnel (fish)
spomeba,guppy (fish)
somdima,gurnard (fish)
wevisa,haddock (fish)
weplova,hagfish (fish)
runzeda,hairtail (fish)
txizega,hake (fish)
spirofa,halfbeak (fish)
nahotxa,halfmoon (fish)
fegriza,halibut (fish)
hemura,halosaur (fish)
vruboqa,hamlet (fish)
mosrofa,hammerjaw (fish)
xoganda,handfish (fish)
rameba,hatchetfish (fish)
hayika,hawkfish (fish)
smokuxa,herring (fish)
kodega,hoki (fish)
sufkofa,horsefish (fish)
gahiga,houndshark (fish)
kodika,huchen (fish)
xutrifa,humuhumunukunukuapua'a (fish)
hipupa,hussar (fish)
ruwulta,icefish (fish)
mulatxa,ide (fish)
dofrada,idol (fish)
txefofa,ilish/hilsha (fish)
gufurta,inanga (fish)
gobaza,inconnu (fish)
xepruga,jack (fish)
txirefa,jackfish (fish)
pitofka,javelin (fish)
lomdura,jawfish (fish)
bobuda,jewelfish (fish)
xiqkeqa,jewfish (fish)
glifara,kahawai (fish)
bodarda,kaluga (fish)
hexexa,kanyu (fish)
munira,kelpfish (fish)
husada,killifish (fish)
trozora,kingfish (fish)
kiyiqka,knifefish (fish)
hislura,knifejaw (fish)
swedaxa,koi (fish)
kiwega,kokanee (fish)
bibruna,kokopu (fish)
brubuna,ladyfish (fish)
roxaga,lampfish (fish)
kerpiqa,lamprey (fish)
vavafa,lance (fish)
prumefa,lancetfish (fish)
mibrisa,lanternfish (fish)
vohoxa,lanternshark (fish)
hastisa,leaffish (fish)
zeskiqa,leatherjacket (fish)
fogeva,lenok (fish)
rispema,lightfish (fish)
gundiqa,limia (fish)
zosmiga,ling (fish)
kolarta,lionfish (fish)
flivava,livebearer (fish)
pondupa,lizardfish (fish)
sruxeka,loach (fish)
fuyaza,longfin (fish)
gumzoza,loosejaw (fish)
wapluva,louvar (fish)
bapluba,luderick (fish)
gagosta,lumpsucker (fish)
yastoqa,lungfish (fish)
wokonda,mackerel (fish)
wefroka,madtom (fish)
krefeqa,mahi-mahi (fish)
vurzaza,mahseer (fish)
reblena,major (fish)
patara,mandarinfish (fish)
xispeqa,manefish (fish)
popunda,marblefish (fish)
yuqkeva,marlin (fish)
haxuga,medaka (fish)
vrukara,medusafish (fish)
txudasa,menhaden (fish)
denofta,milkfish (fish)
tateda,minnow (fish)
vakroba,mojarra (fish)
leslona,mola (fish)
nuputa,monkfish (fish)
yurdoza,mooneye (fish)
famoska,mora (fish)
zundaga,moray (fish)
truxena,morwong (fish)
fibrema,mosquitofish (fish)
weqesta,mouthbrooder (fish)
kluduza,mrigal (fish)
difkoba,mudfish (fish)
buvoka,mudminnow (fish)
raferta,mudskipper (fish)
fosorpa,mudsucker (fish)
hosmana,mullet (fish)
blovoga,mummichog (fish)
fosnima,muskellunge (fish)
sladifa,nase (fish)
vuzurpa,needlefish (fish)
slexixa,noddlefish (fish)
hinura,notothen (fish)
wiqkeza,nurseryfish (fish)
suftida,oarfish (fish)
veqesta,oilfish (fish)
sedroda,oldwife (fish)
fraqoka,opah (fish)
kolzeza,opaleye (fish)
xuxala,orfe (fish)
meskala,oscar (fish)
labrida,oto (fish)
flomoba,paddlefish (fish)
hisolpa,panga (fish)
srosima,parore (fish)
binolta,parrotfish (fish)
prizixa,peamouth (fish)
gleruna,pearleye (fish)
brapata,pearlfish (fish)
grevana,pencilfish (fish)
siviza,pencilsmelt (fish)
grudiqa,perch (fish)
sodroda,pickerel (fish)
weprava,pigfish (fish)
xoklasa,pike (fish)
beherta,pikeblenny (fish)
nirdola,pikeperch (fish)
bazega,pilchard (fish)
riftisa,pineapplefish (fish)
zaqurda,pineconefish (fish)
gerdika,pinfish (fish)
yigoma,pintano (fish)
kartola,pipefish (fish)
datxisa,piranha (fish)
sunurda,pirarucu (fish)
xogefa,plaice (fish)
meslosa,platy (fish)
noveka,platyfish (fish)
rasrema,pleco (fish)
vixiqka,poacher (fish)
yaqkaqa,pollock (fish)
yokida,pollyfish (fish)
srodona,pomfret (fish)
sanafka,pompano (fish)
himula,ponyfish (fish)
bufora,porcupinefish (fish)
flipota,porgy (fish)
kasleqa,powen (fish)
wanaka,prickleback (fish)
lozoka,pricklefish (fish)
zivefka,prowfish (fish)
nafada,puffer (fish)
kuweqka,pufferfish (fish)
hablaba,pumpkinseed (fish)
ropapa,pupfish (fish)
soproma,quillback (fish)
hasnema,quillfish (fish)
drututa,rabbitfish (fish)
kugoqka,ragfish (fish)
gumdoqa,rainbowfish (fish)
zarixa,rasbora (fish)
naraqka,ratfish (fish)
goxinda,rattail (fish)
vosoza,raven (fish)
dibunda,ray (fish)
bespema,razorfish (fish)
funasta,redfish (fish)
watrima,reedfish (fish)
mivaga,remora (fish)
vexina,ribbonfish (fish)
snadeda,ricefish (fish)
darzera,ridgehead (fish)
kayula,rivuline (fish)
rasulta,robin (fish)
gahava,rockfish (fish)
liqkena,rockling (fish)
hamona,rohu (fish)
yenova,ronquil (fish)
prafefa,roosterfish (fish)
sigloda,ropefish (fish)
siqurta,roughy (fish)
glivuza,roundhead (fish)
nirzena,rudd (fish)
xesmeva,rudderfish (fish)
liblora,ruff (fish)
lihurda,ruffe (fish)
dabreda,sabalo (fish)
soskura,sabertooth (fish)
txazika,sablefish (fish)
plekoka,sailfish (fish)
zukrona,salamanderfish (fish)
dofesa,salmon (fish)
truqasa,sandburrower (fish)
liskara,sandfish (fish)
baretxa,sandperch (fish)
yoskuza,sandroller (fish)
pibeta,sardine (fish)
flamoda,sauger (fish)
vevrisa,saury (fish)
frifoma,sawfish (fish)
kotxeza,scabbardfish (fish)
vowolta,scad (fish)
wufkeka,scalyfin (fish)
fasmuma,scat (fish)
disloda,scorpionfish (fish)
brekexa,sculpin (fish)
smaroba,scup (fish)
xomorta,seahorse (fish)
vroxana,seamoth (fish)
nurdoba,searobin (fish)
nulospa,shad (fish)
spusana,shark (fish)
klabeza,sharksucker (fish)
fifitxa,sheatfish (fish)
xuflaxa,sheepshead (fish)
bugzera,shiner (fish)
yogzava,shrimpfish (fish)
glibuda,sillago (fish)
sondola,silverside (fish)
rostofa,skate (fish)
bemuda,sleeper (fish)
zorpiza,slickhead (fish)
holzana,slimehead (fish)
smibama,slipmouth (fish)
vedrexa,smelt (fish)
slazaxa,snail (fish)
sixorta,snailfish (fish)
birzira,snakehead (fish)
blazaza,snapper (fish)
vidaka,snipefish (fish)
gizara,snook (fish)
wutreda,soldierfish (fish)
renarpa,sole (fish)
kloloxa,spadefish (fish)
rablisa,spearfish (fish)
beduba,spiderfish (fish)
nagzefa,spikefish (fish)
yuzispa,spinefoot (fish)
spibosa,spinyfin (fish)
gekresa,splitfin (fish)
drekoqa,splittail (fish)
yusaga,spookfish (fish)
faqkima,sprat (fish)
deguga,springfish (fish)
bliveqa,squaretail (fish)
pafkota,squawfish (fish)
sriqiqa,squeaker (fish)
xamaxa,squirrelfish (fish)
murzusa,stargazer (fish)
vruvaba,steelhead (fish)
rusneda,stickleback (fish)
vozaqka,stingray (fish)
fardosa,stonecat (fish)
kruleva,stonefish (fish)
flugiva,sturgeon (fish)
popefka,sucker (fish)
vrakeba,sunfish (fish)
srizega,surfperch (fish)
vigosta,surgeonfish (fish)
munofka,swallower (fish)
xivona,swampfish (fish)
kulorta,sweeper (fish)
