tune,english
zogluk,knee
blubor,bone
groqul,skin
nenask,elbow
pasnat,face
bendes,hair
vribug,mouth
kluzad,nose
borpif,tooth
moheb,back
twedaf,limb finger
flofin,leg
xagurd,arm
defatx,blood
noprem,head
bloner,organ
zeklon,feather
mimurd,semen
tregar,sperm
vostoz,spine
reglom,spleen
xuqkax,stomach
bogriq,placenta
xinog,valve
kiklol,embryo
gayud,gill
gipruq,gullet
dayor,fetus
swenix,trachea
dohafk,tumor
reklav,udder
yowort,larynx
biplif,moustache
gabriz,mucous
miref,forehead
mazdal,embryo
yovum,eyebrow
sidutx,eyelash
londim,eyelid
sasasp,eye
kroguf,dung
flobir,elbow
fesnul,cough
swimez,hoof
fezdud,knuckle
lexuk,kiss
naspir,jaw
doskan,armpit
zaklad,abdomen
grufoz,appendix
buyeg,yolk
blaxug,cartilage
vebliq,toe
sponer,tissue
tasnet,thumb
monuqk,bowel
flipup,cervix
yexafk,cheek
debrom,chin
hirpob,claw
zibliz,windpipe
lakrov,urine
blanir,uvula
srales,wrist
