tune,english
pupalpa,ait (landform)
burpida,anabranch (landform)
nuglima,arc (landform)
yospuva,arroyo (landform)
naskufa,atoll (landform)
wavifka,ayre (landform)
travosa,backswamp (landform)
lewista,bank (landform)
glamana,bar (landform)
nerpura,barchan (landform)
lutepa,basin (landform)
srabiba,bay (landform)
yayesta,beach (landform)
xikloda,berg (landform)
plifeda,bight (landform)
bokreka,block (landform)
drazeva,bluff (landform)
bobefka,boil (landform)
larasta,bornhardt (landform)
grafuga,butte (landform)
sekliva,calanque (landform)
desluna,caldera (landform)
kovenda,canyon (landform)
kirdiza,cave (landform)
tradaqa,cenote (landform)
bizaza,channel (landform)
peftita,cirque (landform)
higreqa,cliff (landform)
baziza,cone (landform)
favriga,confluence (landform)
primofa,corrie (landform)
dramafa,crater (landform)
mafkeda,crevasse (landform)
yuvrusa,cuesta (landform)
xuyefta,cusps (landform)
loslosa,dam (landform)
hetroxa,dell (landform)
newuqka,delta (landform)
flepepa,dike (landform)
nirufa,divide (landform)
sufada,doline (landform)
twitita,dome (landform)
romitxa,draw (landform)
groguda,dreikanter (landform)
grovina,drumlin (landform)
spututa,dune (landform)
bulonda,erg (landform)
lefolpa,escarpment (landform)
lonosta,etchplain (landform)
bofraba,fenster (landform)
malpima,firth (landform)
nigaka,fjard (landform)
borosa,fjord (landform)
gurtoda,flat (landform)
fliboda,foiba (landform)
hofema,formation (landform)
meprosa,geo (landform)
gugruba,geyser (landform)
riftola,glacier (landform)
spadida,glen (landform)
fuvaxa,gnamma (landform)
humzoda,gorge (landform)
gerdiqa,graben (landform)
bendera,group (landform)
bihona,gulch (landform)
zaguda,gulf (landform)
lutxaba,gully (landform)
tudrita,guyot (landform)
yopleqa,hill (landform)
giprega,hogback (landform)
buskeba,hollow (landform)
lalurda,hoodoo (landform)
huxuva,horm (landform)
zugliga,hornito (landform)
hulpena,horst (landform)
frotata,hummocks (landform)
farzura,inlet (landform)
sleguxa,inselberg (landform)
srexiqa,interfluve (landform)
blibama,island (landform)
txezeqa,islet (landform)
yomzuva,isthmus (landform)
kuziba,kame (landform)
walzeqa,karst (landform)
frexava,kettle (landform)
levraza,knoll (landform)
smuqiza,kurum (landform)
mafirda,lagoon (landform)
yaxisa,lake (landform)
xokuma,land (landform)
rolzosa,lava (landform)
goxada,line (landform)
dirpula,loess (landform)
himzosa,maar (landform)
gugzuva,machair (landform)
slevuva,malpais (landform)
wovefta,mamelon (landform)
defkesa,marsh (landform)
xisuka,meander (landform)
koqiska,mesa (landform)
nebafta,mogote (landform)
hoyuxa,monadnock (landform)
botxuda,moraine (landform)
dofafta,moulin (landform)
ruxoxa,mountain (landform)
kogora,nubbin (landform)
soplona,nunatak (landform)
dirzafa,oasis (landform)
loglona,paleoplain (landform)
fabispa,palin (landform)
fudruma,palsa (landform)
bexiza,panhole (landform)
snateta,pass (landform)
yofiga,pavement (landform)
muraska,peak (landform)
wenzeza,pediment (landform)
fobira,pelago (landform)
viskuqa,peninsula (landform)
fohida,pingo (landform)
dridura,plain (landform)
kramika,plain (landform)
nisnera,plateau (landform)
hugloma,platform (landform)
yoslexa,plug (landform)
wukanda,polje (landform)
bimdafa,pond (landform)
nunzima,pool (landform)
buglada,potrero (landform)
smegeva,pseudocrater (landform)
lendafa,quarry (landform)
lumulta,range (landform)
yuqafta,rapid (landform)
potatxa,ravine (landform)
txudoma,reef (landform)
txozava,ria (landform)
xupruza,ridge (landform)
trokima,riffle (landform)
famzala,river (landform)
fodarda,rock (landform)
grogura,roy (landform)
bomofa,saddle (landform)
klalixa,salt pan (landform)
mesirda,sandur (landform)
klakana,scowle (landform)
balpoda,scrap (landform)
vuliva,scree (landform)
sesefa,sheets (landform)
nikraga,shelf (landform)
kifriga,shelter (landform)
pitura,shoal (landform)
memoba,shore (landform)
lixoka,shoulder (landform)
wosmika,sinkhole (landform)
rekrexa,solope (landform)
fondena,spring (landform)
noblafa,spur (landform)
sneviga,stack (landform)
dineda,strath (landform)
spixuva,stratocone (landform)
luglira,stream (landform)
mopata,summit (landform)
gezurda,surface (landform)
benoda,swamp (landform)
weseza,system (landform)
mestera,table (landform)
dusama,tafoni (landform)
getrola,tepui (landform)
fuftera,terrace (landform)
nosuska,terracette (landform)
ninula,thalweg (landform)
dustala,tombolo (landform)
zuspoga,tor (landform)
runuma,towhead (landform)
rifreda,trench (landform)
dozdafa,tube (landform)
xovorda,turlough (landform)
resreda,tuya (landform)
ribista,valley (landform)
fubreba,vent (landform)
fordasa,volcano (landform)
xuxarda,water (landform)
slavexa,weathering (landform)
dresama,yardang (landform)
zertig,forest
waresk,soil
raglos,sand
mibed,aerosol
