tune,english
fifatxa,beanie (clothing/gear)
susnama,belt (clothing/gear)
rayiba,bloomers (clothing/gear)
gukorda,blouse (clothing/gear)
ziyama,bottoms (clothing/gear)
liveka,boxers (clothing/gear)
gamduga,bra (clothing/gear)
gakefta,bracelet (clothing/gear)
fewefka,caftan (clothing/gear)
demduma,camisole (clothing/gear)
mufifka,camouflage (clothing/gear)
lidofta,cap (clothing/gear)
blabufa,cardigan (clothing/gear)
gortuna,chemise (clothing/gear)
fevriza,clip (clothing/gear)
nimzisa,cloak (clothing/gear)
labrana,clogs (clothing/gear)
spidola,clothe (clothing/gear)
txaboda,coat (clothing/gear)
kefluva,corset (clothing/gear)
sulzina,cravat (clothing/gear)
fofada,crown (clothing/gear)
xivafka,cuff (clothing/gear)
slezaka,dashiki (clothing/gear)
molzira,diaper (clothing/gear)
despafa,dirndl (clothing/gear)
flusura,drawers (clothing/gear)
gardiva,dress (clothing/gear)
sorpuda,duds (clothing/gear)
yisleqa,dungarees (clothing/gear)
surzifa,earmuffs (clothing/gear)
slesofa,earrings (clothing/gear)
komdeka,elastic (clothing/gear)
mandara,fatigues (clothing/gear)
mumzosa,fedora (clothing/gear)
xevoba,fez (clothing/gear)
smizoxa,flops (clothing/gear)
nisorpa,gabardine (clothing/gear)
miqkafa,gaiters (clothing/gear)
moskosa,galoshes (clothing/gear)
trinega,garb (clothing/gear)
lufalta,garment (clothing/gear)
vifleka,garters (clothing/gear)
sobirda,getup (clothing/gear)
xaboza,gilet (clothing/gear)
xolpoxa,girdle (clothing/gear)
rufrula,glasses (clothing/gear)
nospaba,gloves (clothing/gear)
sneqoxa,gown (clothing/gear)
gugoska,handbag (clothing/gear)
sapraba,handkerchief (clothing/gear)
monzafa,hat (clothing/gear)
trekona,hat (clothing/gear)
namdoba,heels (clothing/gear)
vosluxa,helmet (clothing/gear)
fluveka,hem (clothing/gear)
plofeba,hoodie (clothing/gear)
reneba,houndstooth (clothing/gear)
nunzeda,jacket (clothing/gear)
lesrola,jeans (clothing/gear)
kafruxa,jersey (clothing/gear)
guzaska,jewelry (clothing/gear)
wubleqa,jodhpurs (clothing/gear)
nukiva,johns (clothing/gear)
lolzusa,jumper (clothing/gear)
sridema,kerchief (clothing/gear)
rodrosa,khakis (clothing/gear)
xazurpa,kilt (clothing/gear)
kozerda,kimono (clothing/gear)
buftafa,knickers (clothing/gear)
yorpaqa,lapel (clothing/gear)
hitruxa,leggings (clothing/gear)
lisola,leotard (clothing/gear)
lolzura,lingerie (clothing/gear)
flafona,loafers (clothing/gear)
nupreda,loincloth (clothing/gear)
vedeza,mittens (clothing/gear)
xuzdeqa,moccasins (clothing/gear)
gastuqa,muffler (clothing/gear)
slegoka,muumuu (clothing/gear)
murunda,neckerchief (clothing/gear)
kapriga,necklace (clothing/gear)
gogunda,onesies (clothing/gear)
yesruga,pajamas (clothing/gear)
snoseba,pants (clothing/gear)
xevrola,parka (clothing/gear)
dareda,peplum (clothing/gear)
sihuska,pinafore (clothing/gear)
ralpana,pleat (clothing/gear)
spomida,pocket (clothing/gear)
lirtiba,poncho (clothing/gear)
luzika,ring (clothing/gear)
twaqeva,robe (clothing/gear)
koftoza,sandals (clothing/gear)
zaxerta,sari (clothing/gear)
bolana,sarong (clothing/gear)
fislura,scarf (clothing/gear)
mulzoda,scarf (clothing/gear)
tubreta,scrubs (clothing/gear)
guvifka,shawl (clothing/gear)
braxeva,shirt (clothing/gear)
blususa,shoe (clothing/gear)
soveza,shorts (clothing/gear)
gaslaza,skirt (clothing/gear)
homdeba,sneakers (clothing/gear)
yedroka,suit (clothing/gear)
groxana,tam (clothing/gear)
yeftuxa,teddy (clothing/gear)
tigzata,threads (clothing/gear)
bezuga,tiara (clothing/gear)
klogoma,tie (clothing/gear)
yozeba,tights (clothing/gear)
zusloqa,toga (clothing/gear)
nobruna,top (clothing/gear)
yayifta,tuxedo (clothing/gear)
mistara,umbrella (clothing/gear)
retruga,underwear (clothing/gear)
noftima,uniform (clothing/gear)
dibeqka,veil (clothing/gear)
nitruka,velcro (clothing/gear)
twidira,vest (clothing/gear)
zitxiza,vestments (clothing/gear)
kizufta,visor (clothing/gear)
muyexa,waders (clothing/gear)
xubuva,waistcoat (clothing/gear)
wegeba,warmers (clothing/gear)
lumoda,wellingtons (clothing/gear)
muzdala,wetsuit (clothing/gear)
zindiva,wig (clothing/gear)
tetolta,woolens (clothing/gear)
siplada,wrap (clothing/gear)
vogliva,yoke (clothing/gear)
vikofa,zipper (clothing/gear)
yuflaza,zoris (clothing/gear)
