tune,english
vosu,star
moke,earth
kize,sky
sobe,land
moxu,beach
dasu,sand
kare,scene
diru,stone
miru,butterfly
vaxe,face
kabe,fox
mike,owl
kake,eagle
vave,bird
lave,cloud
dire,cactus
vite,lizard
mote,drum
labu,flute
vate,song
lanu,wind
soru,sea
kotu,sun
matu,moon
mone,snow
sobu,river
lare,rain
vine,mountain
mixu,valley
dovu,gold
kixe,beauty
sinu,cave
kine,grass
laze,flower
doxu,fruit
vake,seed
vore,leaf
sixe,mushroom
maku,branch
saxu,light
soze,universe
mosu,deer
vaku,rabbit
dixu,squirrel
kite,rainbow
motu,metal
vatu,air
lasu,basket
saku,path
dabu,way
dize,step
kinu,mask
laku,key
kiru,heart
doru,soul
kobe,mind
vavu,crow
dare,town
vixe,pearl
voru,diamond
dake,clam
davu,amethyst
saze,vanilla
dove,sage
lake,obsidian
sore,energy
labe,freedom
late,abundance
kibu,excellence
kobu,perfection
kabu,spirit
vobu,hope
koku,support
dane,safety
kove,tree
dotu,creation
misu,field
koru,environment
vabu,forest
koke,hill
koze,slope
mave,meadow
mibu,peace
mize,fish
mane,salmon
vasu,sparrow
koxe,turtle
mite,grasshopper
kitu,pollen
dinu,moss
minu,pond
mobe,lake
situ,water
konu,flow
dike,wave
sibu,smile
kisu,lamp
soke,focus
dite,autumn
laxu,winter
maxu,spring
vone,summer
sotu,bud
kaze,shrub
viru,ball
soku,number
karu,happiness
sasu,harmony
kore,stillness
vovu,sense
sixu,life
soxu,vision
kote,lock
sibe,plane
manu,circle
voku,love
done,beaver
koxu,goodness
saxe,warmth
save,wood
lavu,wing
vinu,base
mabe,line
mixe,play
vire,guide
daxu,walk
mitu,spark
vitu,sweep
donu,gift
dosu,strength
sivu,whole
vaxu,group
site,tribe
maru,joy
sare,bright
danu,wonderful
lane,divinity
monu,dove
visu,paper
saru,pen
mibe,book
satu,glyph
vove,symbol
mive,ocean
vivu,color
size,paint
masu,friend
daxe,cheer
kovu,frog
dave,trout
kone,frost
sote,desert
mine,rhythm
daru,dance
mare,vibe
kane,glow
vaze,planet
sine,matter
vanu,open
dobu,nature
vibu,glacier
katu,essence
kiku,view
sovu,notion
maxe,depth
sonu,memory
date,reach
siru,bit
voke,side
latu,cause
kave,action
vike,source
kosu,fountain
mobu,front
move,start
votu,word
sone,bond
dibe,make
doku,discovery
diku,machine
mavu,message
kire,symmetry
dote,similarity
dobe,bliss
sire,position
movu,place
kivu,material
laxe,ornament
voxe,multiplication
mivu,addition
moru,shape
dabe,mesh
sisu,berry
disu,apple
sove,possibility
mire,link
vibe,cover
sabu,cloth
sane,boat
voze,flight
vize,swim
kasu,splash
moku,loom
dixe,womb
kive,space
doke,time
sabe,clay
laru,bison
vote,intersection
siku,skill
kanu,union
kike,softness
sike,harvest
miku,grain
vive,completeness
doxe,potential
vixu,arrow
moxe,consciousness
kaku,awareness
varu,garden
maze,speech
dine,wheel
mate,drive
soxe,neighbor
kaxu,thought
dore,country
moze,honey
kibe,salt
make,spice
ditu,sweetness
dive,day
more,ink
savu,phone
kavu,balance
daze,steam
kate,pillow
sanu,feeling
divu,center
kaxe,food
daku,bell
viku,chipmunk
vabe,thing
mabu,ground
sosu,art
vonu,dawn
dibu,dusk
datu,chime
sake,window
vane,ram
kixu,dream
sive,grace
voxu,home
vobe,goat
sate,string
vare,room
doze,ring
