tune,english
hatagrama,attogram (mass measurement)
sedagrama,centigram (mass measurement)
desograma,decigram (mass measurement)
dekograma,dekagram (mass measurement)
hexograma,exagram (mass measurement)
femograma,femtogram (mass measurement)
gigograma,gigagram (mass measurement)
hekograma,hectogram (mass measurement)
megograma,megagram (mass measurement)
mikograma,microgram (mass measurement)
milograma,miligram (mass measurement)
petograma,petagram (mass measurement)
pimograma,picogram (mass measurement)
terograma,teragram (mass measurement)
yapograma,yoctogram (mass measurement)
yodograma,yottagram (mass measurement)
zupograma,zeptogram (mass measurement)
zetograma,zettagram (mass measurement)
hatamirta,attometer (distance measurement)
sedamirta,centimeter (distance measurement)
desomirta,decimeter (distance measurement)
dekomirta,dekameter (distance measurement)
hexomirta,exameter (distance measurement)
femomirta,femtometer (distance measurement)
gigomirta,gigameter (distance measurement)
hekomirta,hectometer (distance measurement)
kilomirta,kilometer (distance measurement)
megomirta,megameter (distance measurement)
mikomirta,micrometer (distance measurement)
milomirta,milimeter (distance measurement)
petomirta,petameter (distance measurement)
pimomirta,picometer (distance measurement)
teromirta,terameter (distance measurement)
yapomirta,yoctometer (distance measurement)
yodomirta,yottameter (distance measurement)
zupomirta,zeptometer (distance measurement)
zetomirta,zettameter (distance measurement)
