tune,english
sodira,beech (tree)
lukriqa,elm (tree)
lozuva,holly (tree)
danzera,hophornbeam (tree)
wuskuza,hornbeam (tree)
dimefta,linden (tree)
hosroba,sweetgum (tree)
kaspaqa,sycamore (tree)
dusmuda,arborvitae (tree)
guzasa,cypress (tree)
nesrifa,tupelo (tree)
somifa,willow (tree)
koyoqka,viburnum (tree)
topama,oak (tree)
snukaxa,cherry (tree)
sladena,pistache (tree)
dokruqa,persimmon (tree)
yirzoqa,myrtle (tree)
gusroqa,cryptomeria (tree)
nuzdofa,redwood (tree)
drekixa,cedar (tree)
bibuba,redbud (tree)
fedurda,dogwood (tree)
bruluna,maple (tree)
gluvexa,ginkgo (tree)
lofraba,rubber tree (tree)
xixula,honey locust (tree)
kevispa,pagoda (tree)
zaproza,zelkova (tree)
rasula,coffeetree (tree)
xaklona,pine (tree)
srimifa,magnolia (tree)
yexutxa,planetree (tree)
smexova,catalpa (tree)
wagaba,orange (tree)
romima,pawpaw (tree)
tagzepa,pecan (tree)
rayeka,birch (tree)
plusasa,sassafras (tree)
titaba,berry (tree)
plizoga,silverbell (tree)
derotxa,tuliptree (tree)
mabufta,willow (tree)
smonuba,hazel (tree)
rayima,yellowwood (tree)
nehaqka,cottonwood (tree)
globufa,hickory (tree)
glisuba,hophornbeam (tree)
nuxaka,larch (tree)
wigraba,spruce (tree)
meduqka,juniper (tree)
wiqkava,kauri (tree)
prusama,peppermint (tree)
satxina,kumquat (tree)
mihonda,olive (tree)
deyima,aspen (tree)
hafesa,fir (tree)
sumzola,artichoke (vegetable)
fizdona,aubergine (vegetable)
draveza,asparagus (vegetable)
kenzoxa,legumes (vegetable)
lasluda,alfalfa (vegetable)
humirta,bean (vegetable)
bloruba,bean sprout (vegetable)
dirteba,pea (vegetable)
wazista,lentils (vegetable)
huzdeda,peanuts (vegetable)
fiflona,mange tout (vegetable)
vrugena,broccoflower (vegetable)
hemzuna,broccoli (vegetable)
bimuqka,brussels sprouts (vegetable)
yoqurpa,cabbage (vegetable)
yuroda,kohlrabi (vegetable)
wakreba,cauliflower (vegetable)
snoxoqa,celery (vegetable)
wipreva,endive (vegetable)
kragofa,fiddleheads (vegetable)
lowexa,frisee (vegetable)
gospega,fennel (vegetable)
foftoba,greens (vegetable)
latriva,bok choy (vegetable)
flikiqa,chard (vegetable)
gisrixa,kale (vegetable)
provuva,anise (vegetable)
sumusa,basil (vegetable)
faskura,caraway (vegetable)
slugova,coriander (vegetable)
nanorpa,chamomile (vegetable)
hisnina,daikon (vegetable)
yenzoga,dill (vegetable)
sikrava,lavender (vegetable)
txagixa,cymbopogon (vegetable)
gawispa,marjoram (vegetable)
xumzuga,oregano (vegetable)
yuvunda,parsley (vegetable)
lebada,rosemary (vegetable)
howurda,thyme (vegetable)
frexoza,lettuce (vegetable)
ruqkana,arugula (vegetable)
rahida,mushroom (vegetable)
brubada,nettle (vegetable)
fafurda,spinach (vegetable)
yiguna,okra (vegetable)
prolula,chives (vegetable)
frunuma,garlic (vegetable)
lultuba,leek (vegetable)
kriqiba,onion (vegetable)
bemusta,shallot (vegetable)
flonoda,scallion (vegetable)
wosmuza,pepper (vegetable)
diblusa,paprika (vegetable)
klebova,radicchio (vegetable)
glulira,rhubarb (vegetable)
prisesa,beetroot (vegetable)
febuska,mangel-wurzel (vegetable)
beklika,carrot (vegetable)
surena,celeriac (vegetable)
fridosa,corms (vegetable)
wizarpa,eddoe (vegetable)
krimexa,konjac (vegetable)
modula,taro (vegetable)
wostiva,water chestnut (vegetable)
narpifa,ginger (vegetable)
ritxoma,parsnip (vegetable)
plebuda,rutabaga (vegetable)
kinuga,radish (vegetable)
klobaza,wasabi (vegetable)
lomdefa,horseradish (vegetable)
sultada,tuber (vegetable)
kehurta,jicama (vegetable)
vonixa,potato (vegetable)
virtuga,yam (vegetable)
grugafa,turnip (vegetable)
kusnoqa,salsify (vegetable)
lidista,skirret (vegetable)
yoyoda,corn (vegetable)
suploba,topinambur (vegetable)
nadoska,squashes (vegetable)
flebofa,squash (vegetable)
drazaqa,melon (vegetable)
loyuxa,courgette (vegetable)
kekerta,cucumber (vegetable)
wulpava,delicata (vegetable)
husira,marrow (vegetable)
nistora,tat soi (vegetable)
mehunda,tomato (vegetable)
plaqaza,watercress (vegetable)
grugula,abutilon (flower)
festena,acacia (flower)
letxada,aconite (flower)
triviba,adam and eve (flower)
vardaxa,agapanthus (flower)
mevova,ageratum (flower)
krekina,agrimony (flower)
hunarpa,alchemilla (flower)
kogzeka,alfalfa (flower)
sinaspa,allium (flower)
twekaxa,alstroemeria (flower)
gafkuva,alumroot (flower)
grexeba,alyssum (flower)
muyira,amaranthus (flower)
brinima,amaryllis (flower)
blaqega,anemone (flower)
renetxa,apple blossom (flower)
vrobega,arrowhead (flower)
mumzora,aster (flower)
londala,avens (flower)
kuvrada,azalea (flower)
susnima,baby's breath (flower)
bopresa,bachelor's button (flower)
kluniqa,balloon flower (flower)
klaroxa,balloonvine (flower)
burpuna,ballota (flower)
fobrifa,balsamroot (flower)
flizaka,beaksedge (flower)
slizeka,beardtongue (flower)
vrexusa,bee balm (flower)
boftema,bee plant (flower)
blutita,beechdrops (flower)
xizduga,beggarticks (flower)
gartima,begonia (flower)
mudana,bellflower (flower)
smegaqa,bellwort (flower)
liyona,bergamot (flower)
swezena,bergenia (flower)
vuklena,berry (flower)
kutxaza,billbergia (flower)
famona,birds beak (flower)
neklava,bitterbrush (flower)
kovoda,bittercress (flower)
gatxuga,bitterroot (flower)
zaxospa,black-eyed susan (flower)
hoglifa,blackfoot (flower)
smofeba,bladdernut (flower)
werduba,bladderwort (flower)
yafega,blanket flower (flower)
meflura,blanketflower (flower)
breqoga,blazing star (flower)
dabetxa,bleeding heart (flower)
zokoma,bletilla (flower)
nesurpa,bloodroot (flower)
bavruga,blue eyed mary (flower)
loruqka,bluebead (flower)
gukofta,bluebells (flower)
maglusa,bluebonnets (flower)
xukoba,bluehearts (flower)
gispoqa,bluestar flower (flower)
nobulpa,bluets (flower)
klovola,borage (flower)
zotxuva,bottlebrush (flower)
bahurda,bouvardia (flower)
vinzeva,brachyscome (flower)
zuqenda,brassica (flower)
fekrava,breadroot (flower)
hovoga,broom (flower)
tatufa,broomrape (flower)
sagzefa,buckeye (flower)
spibiba,bugbane (flower)
sawarta,bugleweed (flower)
wukospa,bundleflower (flower)
larolta,bur cucumber (flower)
zugofka,burnet (flower)
boblida,buttercup (flower)
wosmiqa,butterfly bush (flower)
tiplita,butterfly pea (flower)
besrasa,buttonbush (flower)
sigraza,buttonweed (flower)
zopruka,calamint (flower)
beslora,calceolaria (flower)
klevara,calendula (flower)
spefura,caltrop (flower)
fosnuma,camas (flower)
swakefa,camellia (flower)
futata,candytuft (flower)
vavaspa,cardinal flower (flower)
denusta,carnation (flower)
plufama,cat's ear (flower)
lusarpa,catchfly (flower)
fluseba,catharanthus (flower)
yamzova,catmint (flower)
zasnuxa,ceanothus (flower)
vriduza,celery (flower)
wediva,celosia (flower)
klaluga,cherry (flower)
reyirta,chicory (flower)
vugzoka,chionodoxa (flower)
mizoga,chrysanthemum (flower)
kunaga,chrysogonum (flower)
snalola,cinquefoil (flower)
febefta,clarkia (flower)
kirpuga,clematis (flower)
niglala,clover (flower)
vuviqka,clubmoss (flower)
buskira,cohosh (flower)
gatxaga,columbine (flower)
gusiza,coneflower (flower)
hukroxa,coral bells (flower)
plixoqa,coral vine (flower)
marteza,coreopsis (flower)
gakoqka,cornflower (flower)
supraba,corydalis (flower)
dibloba,cosmos (flower)
ponzipa,cotoneaster (flower)
hehasta,cottongrass (flower)
fibuspa,cow parsnip (flower)
gekrama,cow-wheat (flower)
dogruva,cowbane (flower)
sadrina,creeper (flower)
heskora,crippled cranefly (flower)
xesnaga,crocosmia (flower)
xalzixa,crocus (flower)
flurola,crossvine (flower)
bavreka,crown imperial (flower)
yizarda,crownbeard (flower)
dostefa,cuckoo flower (flower)
fendona,cucumber root (flower)
wuwofta,cyclamen (flower)
zasleka,cymophyllus (flower)
gislaka,daffodil (flower)
nohuba,dahlia (flower)
ruvika,daisy (flower)
zizorpa,dandelion (flower)
slozexa,daphne (flower)
krafaza,dayflower (flower)
yazafta,daylily (flower)
tapada,deadnettle (flower)
sraguga,death camas (flower)
ruduma,decumaria (flower)
fehofka,delphinium (flower)
gubruka,desert rose (flower)
miyaka,desert-thorn (flower)
fekloga,deutzia (flower)
smasara,dianella (flower)
kufkega,dianthus barbatus (flower)
fofloma,diascia (flower)
vrimeza,dietes (flower)
narpima,dill (flower)
ravrova,disa (flower)
xeftiza,dodder (flower)
wuyurda,dog hobble (flower)
krudaxa,dogwood (flower)
sutota,dutchman's breeches (flower)
yidava,echinops (flower)
