tune,english
fulzum,involution
sreseso,nasal
guyarpi,eject
guyarpo,ejective
brubaso,implosive
soslir,ablaze
plakak,adult
yiyafk,affine
vakras,detail
xikin,agricultural science
xaqkiv,agriculture
bolol,apartment
zumuk,applaude
smudus,ascetic
litrek,attic
feplur,automata
yizuqk,autumn
yoxerp,axiom (base assumption)
saprum,babysitter
sozeg,backhand
dretap,backward
tirdep,barefoot
kultox,barley
lovruq,bashful
yezud,bath
dumzus,bedroom
slufef,beef
dropep,beer
yusneq,palace
koplag,zigzag
glifeb,seated meditation
bemzid,bronze
gumzez,broadcast
dirtem,brick
heglaf,bread
tatasp,bottle (liquid holder)
kafrez,bother (male sibling)
hohar,bootleg
salast,book (text container)
frumud,bone
snagov,bomb (explosive device)
smamer,derivative
brafeb,depart (leave from)
snadum,demolish
nufosp,deck (patio)
gortef,decelerate
koyund,daughter (female child)
soslun,pickle
slades,contract
fosrin,contest (fight)
nidib,conspicuous
legzan,console (configuration panel)
biflif,concur (agree)
gispok,concrete (material)
faglin,concert (music event)
vakis,bruise
yufkuk,buddism
kavrof,bucket
virtoq,buttocks
drodos,cabinet
wuvosk,cable
didusp,cafe
gipluv,cake
nomif,calcium
subram,camera (image capture)
muftub,candle
vegus,candy
demif,cannon
kifroz,capital (main place)
kopraq,carbon
likort,tonque
diflem,tonight
fekez,today
bohoft,booth
nutxud,brass
brefes,carpet
xemdik,carriage
bimafk,cartoon
rehorp,case
sasmus,cast (film)
tuplop,castle
riyek,cathedral
xadaz,cell (biology)
nubeb,chamber
zigeqk,chapel
hokav,cheese
srogak,chess
wivest,chest
yogard,chief
zordug,chocolate
nospor,christianity
lokok,church
gozusp,cinema
tremeg,classroom
vevolt,clay
sisted,clinic
lamdul,clitoris
roflub,whey
txusem,wine
basad,wink
vrixub,wizard (good magician)
radum,upward
nuklak,verse
trumuv,vertebra
nofrol,vessel
dodrab,village
lurpud,vinegar
triqis,violin
slagov,volleyball
despam,waist
rafolt,wallet
lamzim,ankle
zuhog,trunk
wutxiv,truffle
hinzur,truck
beratx,tropical
mugurt,triumphantly
brulad,treaty (formal agreement)
femob,treasury (treasure manager)
durdus,mall
bultod,maiden
fohund,magazine
basust,lung
gekub,lunch
molord,lumber
kordoz,town
weskix,downhill
yosev,download
suhist,downright
mendos,downstage
rostud,downstairs
zesort,doggishly
narult,doctor
dosnud,divine presence
klinik,district
mulpuf,discharge
mefud,disappear
kusnuv,dinner
wemak,bladder
vrigum,birthday
mulaft,draft
kliqun,pole
boyag,plate
fozdas,planet earth
budert,pitch (throw ball)
krebek,pilot (airplane driver)
pribas,pillow
bezdid,piano
zirtik,photograph
bobeft,pharynx
spakuq,self-control
kizuf,tank (hard fail)
tasput,tale (long fantastical story)
gogliv,tadpole
frisub,tablet
viskiq,supernatural
nodraf,sunrise
txokax,summer
fohan,nostril
nomurd,north
zamzuq,nose
fremub,nipple
xupleq,niece
kraqam,newspaper
rahast,nephew
yizdeg,neck
drunof,naval
vendoz,nation
drizog,muzzle (mouth lock)
basnun,mustard
muqkif,muscle
kofloq,spore
viyosp,pore
gigab,theater
grisik,thigh
xidik,vein
vikind,upbeat
namurp,gland
devreq,facture
vokatx,fixture
dumarp,texture
bemzun,venture
wisnaq,mixture
grebuz,creature
rispis,fracture
moplom,tincture
yiprux,juncture
warpon,moisture
wolzik,pasture
difram,stature
mahatx,rupture
guskuq,rapture
viyeb,nucleus
bogzom,menorah
lakruq,judaism
kridoz,islam
givesk,hinduism
gralax,tire
kuzdiz,gasoline
yifkog,mile
vuxost,street
valax,farm
gevir,hotel
witxeq,court
sroxaq,school
goslug,office
vabluv,university
dapram,club
brexuv,park
hanzir,store
plaxiv,shop
bibluf,library
ziklar,hospital
drones,market
fesutx,building
kofiv,comet
krofoq,dirt
hibrad,lightning
mirpir,thunder
basis,train
smipet,plane
festam,bicycle
zinurt,boat
numzun,ship
sispof,sock
pribir,lawyer
gaploz,patient
swifez,priest
vukled,police
kesteg,veteran
suveg,soldier
fruxaq,artist
mindar,president
raqkir,money
lezdur,bill
farzar,ethnicity
lusteb,election
xukund,movie
barolp,juice
sruvug,milk
zebloq,beverage
gixer,egg
zitrud,soup
wuskeg,rice
xafkix,breakfast
ruflud,sugar
ruxiz,knife
degzib,spoon
vixorp,fork
xerdev,stool
vuxib,bathroom
niqkur,pencil
hifrun,pen
lirem,soap
dremad,page
bartek,letter
xazusk,paper
kesruv,garden
drinir,yard
zowaqk,needle
ligzam,lamp
gresig,television
deblod,radio
lifkum,metal
xastuz,plastic
dumdof,stone
dugraq,dust
badind,inch
liplos,pound
tuspat,consonant
vegoft,vowel
klodok,fall
bimul,year
kawefk,month
grukef,week
teskat,day
xigzoz,night
duspir,hour
fumzer,minute
gifrog,second
vraqir,steel
katrad,gallery
valpuv,canal
lifaf,flag
keqerd,hurricane
fardim,fantasy
waskaq,rifle
kloseq,ferry
xofrax,submarine
kanux,cotton
bimdam,radar
gaftig,helicopter
lurdum,furniture
dehal,hammer
graqus,tornado
bravog,arrow
kuqurd,yacht
hiyif,porch
yohek,petal
kibrag,bathtub
sodoft,brush
kovult,ink
vrokod,fiber
deskef,rope
dakrok,horizon
hetruk,several
brigiz,shaft
wagub,shank
letet,shrine
mesrob,sickle
warpul,silk
smodub,skateboard
zozdig,skin
ronurp,skull
sugrox,skyward
bleduf,sluggish
tulpit,snorkel
lusnun,snore
lehotx,softball
tutond,son
malirt,square
laltab,staff
glaxuz,starch
nosnur,straightforward
boplob,straightway
yofleq,studio
nezik,subway
leplun,equinox
koxuqk,equator
nadatx,agenda
honatx,calorie
yusmaz,manufacture
mofur,laundry
ruhun,knight
kitxena,kitchen
sravoq,kick
frakez,jaundice
xasog,bureaucracy
lenorp,democracy
sosas,delicacy
vosruk,aristocracy
doskob,pharmacy
xuver,grammaticalization
zitrad,drupe
mafest,abscission
gospuz,ovary
buflum,carpal
dunatx,fluorescence
bokroz,keel
retxam,phosphorescent
nevez,squat
despod,tubular
kegul,stout
nesrul,hearty
mafer,herbaceous
safkeb,perennial
keyusk,luxuriant
