tune,english
kredeva,absolutno (star)
nidona,alasia (star)
vazuda,amadioha (star)
vospega,amansinaya (star)
lebanda,anadolu (star)
fusista,aniara (star)
petora,arcalís (star)
ligreza,atakoraka (star)
brevixa,axólotl (star)
zolaga,ayeyarwady (star)
bihenda,baekdu (star)
detxama,bélénos (star)
nolutxa,belel (star)
hohuna,berehynia (star)
prinona,bibhā (star)
kobeka,bosona (star)
yizima,bubup (star)
miwerta,buna (star)
siqkofa,ceibo (star)
lasmula,chaophraya (star)
niplola,chasoň (star)
kebuxa,chechia (star)
vekaspa,citadelle (star)
lulpufa,citalá (star)
puqkupa,cocibolca (star)
zaflaza,dingolay (star)
plukaka,dìwö (star)
siqkisa,diya (star)
zogzeza,dofida (star)
brafofa,dombay (star)
kabaka,ebla (star)
wagora,emiw (star)
sutxofa,felixvarela (star)
glaqava,flegetonte (star)
kiraga,formosa (star)
worzeba,franz (star)
wuspuxa,funi (star)
zeyuska,gakyid (star)
kruzuba,gloas (star)
briqeka,gumala (star)
bogzina,hoggar (star)
xevasta,horna (star)
plalaba,hunahpú (star)
xatresa,hunor (star)
sobatxa,illyrian (star)
grakida,inquill (star)
fafkera,intan (star)
honutxa,irena (star)
hewespa,itonda (star)
gublaga,kalausi (star)
kuyifta,kamuy (star)
lindada,karaka (star)
glolena,kaveh (star)
xadreza,koeia (star)
flalesa,koit (star)
fobusa,lerna (star)
klezesa,liesma (star)
grameqa,lionrock (star)
mosesa,lucilinburhuc (star)
viqurpa,lusitânia (star)
saskifa,macondo (star)
desada,mago (star)
voneza,mahsati (star)
slavuza,malmok (star)
gizarpa,márohu (star)
smatata,mazaalai (star)
bofeba,moldoveanu (star)
fibalta,mönch (star)
basasta,montuno (star)
busmima,morava (star)
xamdiga,moriah (star)
wasnoxa,mouhoun (star)
ponapa,mpingo (star)
flubesa,muspelheim (star)
spalifa,naledi (star)
vadreqa,násti (star)
yevirta,natasha (star)
mimula,nenque (star)
lispima,nervia (star)
nahetxa,nikawiy (star)
liduska,nosaxa (star)
wekorpa,nushagak (star)
gumdoza,nyamien (star)
dindifa,parumleo (star)
plokuxa,petra (star)
kazoska,phoenicia (star)
sirpena,pincoya (star)
drizega,pipoltr (star)
lipapa,poerava (star)
gaspeka,rapeto (star)
bosmefa,rosaliadecastro (star)
vogzoga,sagarmatha (star)
besnena,sāmaya (star)
kapliza,sansuna (star)
sifkana,shama (star)
wexida,sharjah (star)
yiprava,sika (star)
varpaka,solaris (star)
pefluta,sterrennacht (star)
trasuqa,stribor (star)
txadema,taika (star)
hohura,tangra (star)
fulzima,tapecue (star)
smozuxa,tevel (star)
yiskava,timir (star)
kayeda,tislit (star)
yapreza,tojil (star)
glukuva,tuiren (star)
mixiga,tupã (star)
nufkuna,tupi (star)
flisada,uklun (star)
sufkoma,uruk (star)
munzofa,xihe (star)
sikloxa,gudja (star)
ramunda,guniibuu (star)
rubrosa,imai (star)
bodrasa,la superba (star)
fazoxa,paikauhale (star)
fanefa,toliman (star)
xogzaka,alpherg (star)
wukasta,alruba (star)
mumzifa,ashlesha (star)
slumada,azmidi (star)
damzura,bunda (star)
keklaba,elgafar (star)
mumonda,elkurud (star)
mimifa,fawaris (star)
logzisa,felis (star)
sladaba,fumalsamakah (star)
profula,heze (star)
lohara,kraz (star)
yeklaba,nahn (star)
beblofa,okab (star)
spofeba,piautos (star)
fedutxa,tarf (star)
losliba,ukdah (star)
lekiga,acamar (star)
kigoqka,achernar (star)
nalpuna,achird (star)
navoga,acrab (star)
frifura,acrux (star)
rumdisa,acubens (star)
xepreka,adhafera (star)
vaxena,adhara (star)
yimzega,adhil (star)
yavurpa,ain (star)
